smiles	nsc	level1	level2	level3	level4	level5	level6
O=C(C(=Cc1ccc(C#N)cc1)c2ccccc2)c3ccccc3	643134	c1ccccc1	C=C(C(=O)c1ccccc1)c2ccccc2	O=C(C(=Cc1ccccc1)c2ccccc2)c3ccccc3	O=C(C(=Cc1ccccc1)c2ccccc2)c3ccccc3	O=C(C(=Cc1ccccc1)c2ccccc2)c3ccccc3	O=C(C(=Cc1ccccc1)c2ccccc2)c3ccccc3
CCOC(=O)C(C(=O)OCC)c1ccc(N(=O)=O)o1	643139	c1ccoc1	c1ccoc1	c1ccoc1	c1ccoc1	c1ccoc1	c1ccoc1
O=C(C(=Cc2ccc1ccccc1c2)C#N)c3ccccc3	643186	c1ccccc1	c2ccc1ccccc1c2	O=C(C=Cc2ccc1ccccc1c2)c3ccccc3	O=C(C=Cc2ccc1ccccc1c2)c3ccccc3	O=C(C=Cc2ccc1ccccc1c2)c3ccccc3	O=C(C=Cc2ccc1ccccc1c2)c3ccccc3
CCN(CC)CCC(=O)OC4CCC(CC(C)C3CC(=O)C(C)C=C(C)C(OC(=O)CCN(CC)CC)C(OC)C(=O)C(C)CC(C)C=CC=CC=C(C)C(OC)CC1CCC(C)C(O)(O1)C(=O)C(=O)N2CCCCC2C(=O)O3)CC4OC	643248	O=C1CCCC=CC=CC=CCCCOCC(=O)C(=O)NCC(=O)OCCC(=O)CC=CCC1	O=C2CCCC=CC=CC=CCCC1CCCC(O1)C(=O)C(=O)NCC(=O)OCCC(=O)CC=CCC2	O=C3CCCC=CC=CC=CCCC1CCCC(O1)C(=O)C(=O)N2CCCCC2C(=O)OCCC(=O)CC=CCC3	O=C4CCCC=CC=CC=CCCC1CCCC(O1)C(=O)C(=O)N2CCCCC2C(=O)OC(CCC3CCCCC3)CC(=O)CC=CCC4	O=C4CCCC=CC=CC=CCCC1CCCC(O1)C(=O)C(=O)N2CCCCC2C(=O)OC(CCC3CCCCC3)CC(=O)CC=CCC4	O=C4CCCC=CC=CC=CCCC1CCCC(O1)C(=O)C(=O)N2CCCCC2C(=O)OC(CCC3CCCCC3)CC(=O)CC=CCC4
CC35CCCc4coc(C(=O)c2cc1c(=O)ccc(=O)c1cc23)c45	643406	c1ccoc1	O=C1C=CCc2ccoc12	O=C1C=CC2CCCc3coc1c23	O=C2c1ccccc1C3CCCc4coc2c34	O=C3c2cc1c(=O)ccc(=O)c1cc2C4CCCc5coc3c45	O=C3c2cc1c(=O)ccc(=O)c1cc2C4CCCc5coc3c45
CC35CCC(=O)c4coc(C(=O)c2cc1c(=O)ccc(=O)c1cc23)c45	643407	c1ccoc1	O=C1CCCc2cocc12	O=C1CCC2C=CC(=O)c3occ1c23	O=C2CCC3c1ccccc1C(=O)c4occ2c34	O=C3CCC4c2cc1c(=O)ccc(=O)c1cc2C(=O)c5occ3c45	O=C3CCC4c2cc1c(=O)ccc(=O)c1cc2C(=O)c5occ3c45
COc5ccc(N4C(=O)C3CC(C)c1c([nH]c2ccccc12)C3C4=O)cc5	643416	O=C1CCC(=O)N1	O=C2NC(=O)C1C=CCCC12	O=C1NC(=O)C2C1CCc3cc[nH]c23	O=C1NC(=O)C2C1CCc3c2[nH]c4ccccc34	O=C4C3CCc1c([nH]c2ccccc12)C3C(=O)N4c5ccccc5	O=C4C3CCc1c([nH]c2ccccc12)C3C(=O)N4c5ccccc5
Cn4c(=O)c3c1ccccc1c(C(=O)c2ccccc2)n3c5ccccc45	643437	c1cc[nH]c1	O=c1[nH]ccn2cccc12	O=c2[nH]c1ccccc1n3cccc23	O=c3[nH]c1ccccc1n4cc2ccccc2c34	O=C(c1ccccc1)c4c2ccccc2c5c(=O)[nH]c3ccccc3n45	O=C(c1ccccc1)c4c2ccccc2c5c(=O)[nH]c3ccccc3n45
Oc2nc1ccccc1nc2c3ccccc3NC(=O)c4ccccc4	643438	c1cnccn1	c2ccc1nccnc1c2	c3ccc(c2cnc1ccccc1n2)cc3	O=C(Nc1ccccc1c3cnc2ccccc2n3)c4ccccc4	O=C(Nc1ccccc1c3cnc2ccccc2n3)c4ccccc4	O=C(Nc1ccccc1c3cnc2ccccc2n3)c4ccccc4
O=n4c(c1ccccc1)c3nc2ccccc2nc3c5ccccc45	643439	c1cnccn1	O=n2ccc1nccnc1c2	O=n2cc1nccnc1c3ccccc23	O=n3cc2nc1ccccc1nc2c4ccccc34	O=n4c(c1ccccc1)c3nc2ccccc2nc3c5ccccc45	O=n4c(c1ccccc1)c3nc2ccccc2nc3c5ccccc45
C=Cc1cncc(C#N)c1CCc2c(C=C)cncc2C#N	643440	c1ccncc1	C(Cc1ccncc1)c2ccncc2	C(Cc1ccncc1)c2ccncc2	C(Cc1ccncc1)c2ccncc2	C(Cc1ccncc1)c2ccncc2	C(Cc1ccncc1)c2ccncc2
COC(=O)C2C1CC(C=C1)C2(C(=O)OC)S(=O)CC34CCC(CC3O)C4(C)C	643443	C1CCCC1	C1CC2CCC1C2	O=S(CC12CCC(CC1)C2)C3CCCC3	O=S(CC12CCC(CC1)C2)C3CC4CC3C=C4	O=S(CC12CCC(CC1)C2)C3CC4CC3C=C4	O=S(CC12CCC(CC1)C2)C3CC4CC3C=C4
OCNC(=N)NC#N	643467	null	null	null	null	null	null
COCNC(NCOC)=NC#N	643469	null	null	null	null	null	null
N=C(NCNC(=N)NC#N)NC#N	643474	null	null	null	null	null	null
COCNC(=N)NC#N	643475	null	null	null	null	null	null
N#CN=C(NCc1ccccc1)NCc2ccccc2	643482	c1ccccc1	N=C(NCc1ccccc1)NCc2ccccc2	N=C(NCc1ccccc1)NCc2ccccc2	N=C(NCc1ccccc1)NCc2ccccc2	N=C(NCc1ccccc1)NCc2ccccc2	N=C(NCc1ccccc1)NCc2ccccc2
CC(=O)NC(CCCNC(=O)OCc1ccccc1)C(O)=O	643523	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1
CC(=O)NC(CCCNC(=O)OCc1ccccc1)C(=O)NCc2ccccc2	643524	c1ccccc1	O=C(CCCCNC(=O)OCc1ccccc1)NCc2ccccc2	O=C(CCCCNC(=O)OCc1ccccc1)NCc2ccccc2	O=C(CCCCNC(=O)OCc1ccccc1)NCc2ccccc2	O=C(CCCCNC(=O)OCc1ccccc1)NCc2ccccc2	O=C(CCCCNC(=O)OCc1ccccc1)NCc2ccccc2
CC(=O)NC(CCCCNC(=O)OCc1ccccc1)C(=O)NCc2ccccc2	643525	c1ccccc1	O=C(CCCCCNC(=O)OCc1ccccc1)NCc2ccccc2	O=C(CCCCCNC(=O)OCc1ccccc1)NCc2ccccc2	O=C(CCCCCNC(=O)OCc1ccccc1)NCc2ccccc2	O=C(CCCCCNC(=O)OCc1ccccc1)NCc2ccccc2	O=C(CCCCCNC(=O)OCc1ccccc1)NCc2ccccc2
CC(=O)NC(CCCN)C(=O)NCc1ccccc1	643526	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1
CCCNCCCC(NC(C)=O)C(=O)NCc1ccccc1	643527	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1
CC(=O)NC(CCCNCc1ccccc1)C(=O)NCc2ccccc2	643528	c1ccccc1	O=C(CCCCNCc1ccccc1)NCc2ccccc2	O=C(CCCCNCc1ccccc1)NCc2ccccc2	O=C(CCCCNCc1ccccc1)NCc2ccccc2	O=C(CCCCNCc1ccccc1)NCc2ccccc2	O=C(CCCCNCc1ccccc1)NCc2ccccc2
CC(=O)NC(CCCCN)C(=O)NCc1ccccc1	643529	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1
CCCNCCCCC(NC(C)=O)C(=O)NCc1ccccc1	643530	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1
